labware;x_offset;y_offset;z_offset
filtertips_20;0;0;0
filtertips_200;0;0;0
plate_96;0;0;0
plate_plateholder;0;0;0
pcr_strips;0;0;0
1.5mL_tubes;0;0;0
5mL_screw_cap;0;0;0
15mL_tubes;0;0;0
50mL_tubes;0;0;0
